Feature,R2,RMSE,MAE,Correlation,P_value
KYNU,-4.279613494873047e-05,0.894362254608423,0.667851448059082,-0.17963831,0.3017967744381595
MICAL1,-4.410743713378906e-05,0.5483392187235557,0.47798433899879456,-0.31265646,0.06744843416498202
PREP,-4.4345855712890625e-05,0.8413198938568408,0.698637843132019,-0.6290438,5.1774336840246325e-05
PRPF38A,-4.5299530029296875e-05,0.5636392289169957,0.44228968024253845,-0.49758142,0.0023552807245756317
NCAPH,-4.5299530029296875e-05,0.8096040688760197,0.6707192659378052,-0.5048874,0.0019800700438975085
UQCRC1,-4.5418739318847656e-05,0.5768481407649394,0.47657808661460876,-0.5990288,0.00014353546362811339
TBC1D4,-4.601478576660156e-05,0.6422699766263367,0.4806489646434784,-0.40066144,0.017072263903233846
PPP2R1B,-4.601478576660156e-05,0.5378022042973019,0.4462025463581085,0.10359304,0.5537141672800499
TTYH3,-4.6372413635253906e-05,0.7317057045476869,0.5635417103767395,-0.17938115,0.30250078580599926
ADAM17,-4.684925079345703e-05,0.9354814096374402,0.784710705280304,0.75804466,1.3352207090235334e-07
PPP1R2,-4.696846008300781e-05,0.37653871595687016,0.29518646001815796,0.023014646,0.895594188212465
ARG2,-4.792213439941406e-05,0.6870364447009715,0.558927059173584,-0.34562135,0.04199034988395352
TIMM9,-4.8041343688964844e-05,0.5233450281249787,0.4102855920791626,0.3448532,0.04247906782420734
ASAP1,-4.935264587402344e-05,0.4221159988383478,0.3431752920150757,0.507523,0.0018581630800359285
SLC9A3R1,-4.947185516357422e-05,0.9741050623289225,0.7732928395271301,0.15416005,0.37658659095201447
CHCHD6,-4.9591064453125e-05,0.6969531986171109,0.5042921900749207,0.009527596,0.9566802791293734
MTAP,-5.030632019042969e-05,0.8622837085699195,0.7155593633651733,0.5691086,0.00036020299506976623
TFCP2,-5.066394805908203e-05,0.7282185703125617,0.5548045635223389,-0.57898694,0.0002684666377802219
CCDC88A,-5.2094459533691406e-05,0.3789087472420426,0.3064364194869995,0.055585332,0.751129777119193
GMFB,-5.221366882324219e-05,1.074682960777979,0.8548349142074585,-0.6539108,2.0445476353009265e-05
GNB2,-5.221366882324219e-05,0.7461735947311245,0.635102391242981,-0.2241662,0.19546872181027378
IST1,-5.2809715270996094e-05,0.41374089689123156,0.3183847665786743,-0.36104077,0.03310266620486776
HSPA4L,-5.316734313964844e-05,0.8201698179134715,0.7072114944458008,0.3884871,0.021095455696860544
PLXNB2,-5.328655242919922e-05,0.7307985346725673,0.6141121983528137,0.25913566,0.13278684984357217
CDK2,-5.340576171875e-05,0.5514703592599132,0.4236741065979004,-0.34584972,0.04184591723463162
COPS5,-5.352497100830078e-05,0.6654811963477929,0.5281261801719666,-0.5394954,0.0008243805451600245
TRIM32,-5.3763389587402344e-05,0.39504995335017495,0.3408711850643158,-0.3305614,0.0524381220729898
AHSA1,-5.424022674560547e-05,0.9181932864623188,0.7236344218254089,-0.6618062,1.4953179311466133e-05
FAT1,-5.555152893066406e-05,0.586730826872003,0.46426570415496826,-0.035509963,0.8395150503411123
CASP7,-5.698204040527344e-05,0.4427560743133855,0.33920201659202576,-0.20986071,0.22628157544480085
FH,-5.698204040527344e-05,0.4656806752502583,0.36638566851615906,-0.05831139,0.7393386259831896
GPR107,-5.733966827392578e-05,0.5753363548111432,0.4135625958442688,0.28834513,0.09299403516997906
PLOD3,-5.745887756347656e-05,1.0548332396232125,0.8791192173957825,-0.6449323,2.886915228852219e-05
ZFAND5,-5.7578086853027344e-05,0.5574612641669378,0.4597667157649994,-0.31870088,0.06204496976886626
NSA2,-5.7816505432128906e-05,0.6019159492434883,0.46161144971847534,0.35698763,0.035274698132554384
NDUFS6,-5.793571472167969e-05,0.6688829378994782,0.5501412153244019,0.29134995,0.08948631085112305
RABL6,-5.900859832763672e-05,0.7434177441916475,0.5793197751045227,0.6792948,7.230814947856802e-06
MAZ,-5.924701690673828e-05,0.42186982540206663,0.3325456380844116,-0.56797844,0.0003723035668814903
SNRNP200,-5.996227264404297e-05,0.3313706614599911,0.2597370743751526,-0.2804448,0.1027186491384111
COX5B,-6.031990051269531e-05,0.6883951991276239,0.5492796897888184,0.27330762,0.1121502898059698
AASDHPPT,-6.0439109802246094e-05,1.229857083833432,0.9921345114707947,-0.67940336,7.197206514577238e-06
AP3M1,-6.0677528381347656e-05,0.4674455612534142,0.3800596594810486,-0.15834886,0.3635969237374928
SEL1L,-6.079673767089844e-05,0.694909847127555,0.5373557209968567,0.62544626,5.8832711775565464e-05
MESD,-6.222724914550781e-05,0.4995654273966906,0.41575029492378235,-0.49938422,0.002257358764632683
SEC13,-6.258487701416016e-05,0.41058839103510764,0.30627235770225525,-0.27665395,0.1076501693945717
RCOR3,-6.29425048828125e-05,0.5483313107187521,0.4030091166496277,-0.18799151,0.27949261589493735
CTCF,-6.306171417236328e-05,0.6121515937467239,0.4975756108760834,-0.6372547,3.844079626994076e-05
PARP4,-6.330013275146484e-05,0.5935291331226384,0.4832817614078522,-0.38429102,0.022652702981754317
